1768660026838593792,0.21679,-0.05233,-0.06674,0.99645,0.07776,-0.02064,0.02488,0.39485,-0.30324,-0.21420,
1768660026871426048,0.24848,-0.05687,-0.05960,0.99723,0.05765,-0.03293,0.03349,0.38225,-0.23793,-0.19784,
1768660026934568960,0.28153,-0.06102,-0.06470,0.99705,0.04426,-0.04172,0.04680,0.34480,-0.19514,-0.21040,
1768660027002229504,0.31344,-0.05619,-0.07515,0.99643,0.03396,-0.04703,0.06141,0.31160,-0.13460,-0.23744,
1768660027034132480,0.33044,-0.04614,-0.08030,0.99603,0.02691,-0.04900,0.06934,0.29470,-0.07744,-0.25302,
1768660027097832960,0.35320,-0.02950,-0.09736,0.99475,0.01823,-0.05098,0.08690,0.24841,-0.00517,-0.28779,
1768660027167651584,0.37244,-0.00261,-0.12225,0.99228,0.00776,-0.05377,0.11153,0.18977,0.08299,-0.33531,
1768660027198109184,0.37624,0.01583,-0.13849,0.99075,0.00254,-0.05575,0.12371,0.15021,0.13139,-0.37071,
1768660027230649600,0.37856,0.03258,-0.15330,0.98895,-0.00108,-0.05672,0.13694,0.11209,0.16794,-0.39720,
1768660027293843200,0.37912,0.06391,-0.18220,0.98520,-0.00610,-0.05671,0.16162,0.03919,0.21770,-0.43929,
1768660027330044928,0.37451,0.08780,-0.19973,0.98304,-0.00981,-0.05660,0.17415,-0.01246,0.25776,-0.46367,
1768660027396072704,0.36295,0.12521,-0.23298,0.97910,-0.01384,-0.05588,0.19507,-0.10552,0.30961,-0.50406,
1768660027425936384,0.35360,0.14577,-0.24811,0.97714,-0.01634,-0.05563,0.20453,-0.15420,0.34901,-0.52231,
1768660027491768064,0.33283,0.18110,-0.28277,0.97233,-0.02177,-0.05381,0.22627,-0.25834,0.39916,-0.55586,
1768660027526648064,0.31260,0.20554,-0.30071,0.96918,-0.02553,-0.05389,0.23905,-0.33646,0.43910,-0.57112,
1768660027590295808,0.27469,0.24248,-0.33558,0.96249,-0.02987,-0.05233,0.26455,-0.46522,0.48217,-0.60194,
1768660027624084480,0.24992,0.26367,-0.35312,0.95859,-0.03219,-0.05118,0.27829,-0.53799,0.50377,-0.61617,
1768660027690214400,0.19407,0.30442,-0.39076,0.95041,-0.03620,-0.04817,0.30509,-0.67957,0.52970,-0.65000,
1768660027770955776,0.11013,0.35350,-0.43986,0.93978,-0.04027,-0.04393,0.33654,-0.86483,0.53034,-0.68164,
1768660027818978816,0.04527,0.38243,-0.46625,0.93326,-0.04275,-0.04260,0.35410,-0.98603,0.53006,-0.69045,
1768660027856935936,-0.00881,0.40512,-0.48553,0.92798,-0.04584,-0.04115,0.36749,-1.07611,0.53260,-0.69253,
